FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
28017,ms,"chickasaw, ms",971.82
5017,ar,"chicot, ar",107.435
48075,tx,"childress, tx",382.473
1021,al,"chilton, al",307.098
26033,mi,"chippewa, mi",727.666
27023,mn,"chippewa, mn",214.675
55017,wi,"chippewa, wi","1,862.68"
27025,mn,"chisago, mn","2,581.78"
50007,vt,"chittenden, vt","10,004.48"
1023,al,"choctaw, al",67.322
28019,ms,"choctaw, ms",156.292
40023,ok,"choctaw, ok",459.351
30015,mt,"chouteau, mt",65.725
37041,nc,"chowan, nc",190.554
17021,il,"christian, il","1,261.07"
21047,ky,"christian, ky","13,313.65"
29043,mo,"christian, mo",807.582
32001,nv,"churchill, nv","1,758.59"
35006,nm,"cibola, nm",553.263
40025,ok,"cimarron, ok",63.13
12017,fl,"citrus, fl","3,162.43"
41005,or,"clackamas, or","2,985.20"
22027,la,"claiborne, la",718.683
28021,ms,"claiborne, ms","1,379.55"
47025,tn,"claiborne, tn","1,326.33"
53009,wa,"clallam, wa",213.382
26035,mi,"clare, mi",638.31
45027,sc,"clarendon, sc","7,970.41"
42031,pa,"clarion, pa","1,283.24"
5019,ar,"clark, ar",615.5
16033,id,"clark, id",18.105
17023,il,"clark, il",411.177
18019,in,"clark, in","7,602.60"
20025,ks,"clark, ks",0.018
21049,ky,"clark, ky","2,073.28"
29045,mo,"clark, mo",11.144
32003,nv,"clark, nv","170,192.24"
39023,oh,"clark, oh","4,995.04"
46025,sd,"clark, sd",2.757
53011,wa,"clark, wa","2,836.35"
55019,wi,"clark, wi","1,532.19"
1025,al,"clarke, al",117.462
13059,ga,"clarke, ga","9,600.11"
19039,ia,"clarke, ia",560.913
28023,ms,"clarke, ms",620.033
51043,va,"clarke, va",540.139
41007,or,"clatsop, or",293.151
1027,al,"clay, al",61.738
5021,ar,"clay, ar",167.706
12019,fl,"clay, fl","7,924.57"
13061,ga,"clay, ga",42.372
19041,ia,"clay, ia",538.915
17025,il,"clay, il",252.438
18021,in,"clay, in","1,029.52"
20027,ks,"clay, ks",155.215
21051,ky,"clay, ky",965.767
27027,mn,"clay, mn","2,122.14"
29047,mo,"clay, mo","2,913.24"
28025,ms,"clay, ms","1,084.59"
37043,nc,"clay, nc",122.09
31035,ne,"clay, ne",155.591
46027,sd,"clay, sd",96.668
47027,tn,"clay, tn",277.546
48077,tx,"clay, tx",705.547
54015,wv,"clay, wv","1,007.35"
13063,ga,"clayton, ga","31,618.13"
19043,ia,"clayton, ia",528.051
8019,co,"clear creek, co",74.836
42033,pa,"clearfield, pa","1,840.96"
